epoch,jepa,lnn,hnn,sup,total
1,0.7891445755958557,0.0,0.038178857415914536,4.732680475711822,0.8365095555782318
2,0.4242012590169907,0.0,0.0030572277843020856,4.37036208709081,0.46790793736775715
3,0.29442993700504305,0.0,0.010893360921181738,2.7526949564615886,0.32196777562300366
4,0.2664628257354101,0.0,0.0121404064198335,1.7039159655570983,0.2835141231616338
5,0.2540993049740791,0.0,0.004949819467340907,0.4921790877978007,0.259026046593984
6,0.2388195594151815,0.0,0.004987955559045076,0.16734431236982344,0.24049799044926962
7,0.2274678309758504,0.0,0.004251424789739152,0.08203046955168247,0.22829238722721737
8,0.2242211803793907,0.0,0.0036852601061885554,0.0423483083024621,0.22464834849039714
9,0.22205273509025575,0.0,0.003324783352824549,0.02803275181601445,0.22233638713757198
10,0.2201017826795578,0.0,0.0031017648677031198,0.020473525766283272,0.2203096201022466
