epoch,jepa,lnn,hnn,sup,total
1,0.9131679063042005,0.7395228929817677,0.7919732840236975,6.0045444170633955,0.974348857998848
2,0.5703035468856493,0.0833056125168999,0.015119465029177567,4.901789804299672,0.6194123129049937
3,0.355524222056071,0.03422256140038371,0.0047560456781260045,4.833569039901097,0.4038965118428071
4,0.2894555889070034,0.02069193571029852,0.0016541967391579722,4.5531148711840315,0.33500825117031735
5,0.26767602811257046,0.015414841046246389,0.0050081070949090645,2.8704045762618384,0.29639799396197003
6,0.25118578039109707,0.012448642519302666,0.007705645422295977,0.6017205206056436,0.25721928601463634
7,0.234495106463631,0.0112339539725023,0.007164313884762426,0.1861245191345612,0.236371165762345
8,0.22570557333528996,0.009543886194781711,0.006479978503193706,0.1264438844906787,0.22698279408117136
9,0.22242509139080843,0.0068373618996702135,0.005571547837462276,0.06271657541704674,0.22306188133855662
10,0.2210591615488132,0.005812374486898382,0.005214491888182238,0.0425703899624447,0.2214932863910993
