epoch,jepa,lnn,hnn,sup,total
1,0.9295008599758148,0.7950963631272316,0.13901542365395775,5.216868607203166,0.9825341542561848
2,0.47971275746822356,0.34114893277486164,0.003938712365925312,4.4723693370819095,0.5247795730829239
3,0.31356506446997323,0.32290030382573603,0.005921047801772754,3.9681817134221395,0.353572741150856
4,0.27593808074792225,0.3319108792891105,0.015712589646379154,1.9993743220965068,0.29627159039179485
5,0.25784145047267276,0.3730322323739529,0.016957344859838484,0.3860331133008003,0.2620832920074463
6,0.23644195745388666,0.43456480583796897,0.014092317751298348,0.12647674977779388,0.23814833412567774
7,0.22649147262175878,0.49162001845737296,0.012255860958248377,0.07272316726545493,0.22771644939978916
8,0.22332059890031813,0.5018738369457424,0.010082528910910089,0.04615697289506594,0.22428908497095107
9,0.22100655535856883,0.4409411548015972,0.008882534721245368,0.03315740991383791,0.22178351233402888
10,0.21897822221120197,0.33580790770550567,0.0076742024626582864,0.024924918822944165,0.21956711560487746
