epoch,lr,jepa,lnn,hnn,sup,sup_theta,sup_omega,sup_fd,total
1,0.0001,0.0,0.0,13.02790400981903,352.02114919026695,0.46846003929773966,0.5243764713406562,699.9591186523437,3.533239245414734
2,9.728616793536588e-05,0.0,0.0,13.029076186815898,352.0284998575846,0.4685338924328486,0.5252748305598894,699.9682871500651,3.533314045270284
3,8.9471999940354e-05,0.9458094318707784,0.0,13.027544911702474,352.1684244791667,0.5011880000432333,0.5363718569278717,700.1162384033203,4.4805211861928305
4,7.75e-05,0.7504499514897665,0.0,13.030712501207988,351.85327402750653,0.4717728863159815,0.5299042483170827,699.5835784912109,4.282013336817424
5,6.281416799501188e-05,0.6148035248120626,0.0,13.031157032648723,350.12475738525393,0.46759581565856934,0.5515185296535492,696.0052154541015,4.129082210858663
6,4.7185832004988135e-05,0.5249389588832856,0.0,13.02603063583374,310.85807545979816,0.4532117168108622,1.236051793396473,613.3934204101563,3.646545664469401
7,3.250000000000001e-05,0.5138919035593669,0.0,13.029442723592123,252.84503631591798,0.408657235900561,4.58145759900411,477.3840067545573,3.0553716659545898
8,2.0528000059645997e-05,0.4437004129091899,0.0,13.04067686398824,238.8688176472982,0.4010575726628304,5.397204518318176,444.552294921875,2.845429197947184
9,1.2713832064634127e-05,0.4170197308063507,0.0,13.040993467966716,223.5361307779948,0.3620413432518641,6.36815185546875,408.13926391601564,2.665422026316325
10,1e-05,0.40487260818481446,0.0,13.02601342201233,217.53195241292318,0.35426524182160696,6.187579870223999,397.2298970540365,2.593218119939168
