epoch,lr,jepa,lnn,hnn,sup,sup_theta,sup_omega,sup_fd,total
1,0.0001,0.9842254638671875,3.3383036702871323,12.891633240381877,1.0514869411786398,0.47004875044027966,0.5814381837844849,0.0,1.0045244693756104
2,9.728616793536588e-05,0.7429340879122416,1.1067359743018945,12.485239156087239,1.0268706520398458,0.46983414540688195,0.5570364937186241,0.0,0.7605521559715271
3,8.9471999940354e-05,0.552723515033722,0.4584409574667613,12.128935341040293,1.0069873491923014,0.4681196520725886,0.5388677025834719,0.0,0.5693163136641185
4,7.75e-05,0.4261703372001648,0.2388691085080306,11.81845564842224,1.0121164759000143,0.46792690455913544,0.5441895765562852,0.0,0.442439599831899
5,6.281416799501188e-05,0.3577421446641286,0.14212842012445132,11.559714396794638,1.0090052326520285,0.4672074352701505,0.5417977951467037,0.0,0.3737541874249776
6,4.7185832004988135e-05,0.3253375232219696,0.1047656275331974,11.356892633438111,1.0045828739802043,0.4669848759969076,0.5375979982316494,0.0,0.3411665598551432
7,3.250000000000001e-05,0.30944483081499735,0.08297779510418574,11.20971819361051,0.9994796792666117,0.4664022415876389,0.5330774466196696,0.0,0.3251274645328522
8,2.0528000059645997e-05,0.3016465067863464,0.07335151148339113,11.112231238683064,0.9958586096763611,0.4660659064849218,0.5297927086551985,0.0,0.31723455985387167
9,1.2713832064634127e-05,0.2970192114512126,0.06825033401449522,11.05127247373263,0.9929435809453329,0.46562622040510177,0.5273173625270525,0.0,0.3125425318876902
10,1e-05,0.29418875177701315,0.06495813652873039,11.009817012151082,0.9919735550880432,0.4655687799056371,0.5264047801494598,0.0,0.30967835187911985
