epoch,jepa,lnn,hnn,sup,total
1,0.7109077833592892,0.35498526979548234,0.0,6.087533275286357,0.7721380945295095
2,0.3136602013061444,0.015213057359990975,0.0,4.359924707561731,0.3572746602197488
3,0.2631988450884819,0.0094029151465899,0.0,0.6240967403476437,0.269449212277929
4,0.24277033222218355,0.006546484354961042,0.0,0.12119313019017379,0.24398880979667106
5,0.22734866850078106,0.005623284305329435,0.0,0.042424181825481355,0.22777853440493345
6,0.22303877243151268,0.004231344219685222,0.0,0.03337036420513565,0.2233767087260882
7,0.22049195288370052,0.0035859563019281873,0.0,0.020445464305036392,0.22069999358306328
8,0.21812052838504314,0.007323038929219668,0.0,0.026155442678524803,0.2183894052480658
9,0.2168478729824225,0.003814477148504617,0.0,0.017175760401490454,0.21702344560374817
10,0.21618685498833656,0.0022499962700142837,0.0,0.02354380637795354,0.21642454278965792
