epoch,lr,jepa,lnn,hnn,sup,sup_theta,sup_omega,sup_fd,total
1,0.0001,0.0,6.659734972318014,13.108011754353841,351.99507598876954,0.4688941851258278,0.5296787997086843,699.8742919921875,3.533164445559184
2,9.728616793536588e-05,0.0,6.659734972318014,13.111486530303955,351.95148213704425,0.4682595233122508,0.5239434279501438,699.8227844238281,3.53273020585378
3,8.9471999940354e-05,1.0208428104718525,6.659734972318014,13.113380742073058,352.1236328125,0.471730375289917,0.5530668886999289,699.9854075113932,4.555295515060425
4,7.75e-05,0.7895425240198771,6.659734972318014,13.109604144096375,350.82456970214844,0.4682004908720652,0.5463451633850733,697.4346638997396,4.311002635955811
5,6.281416799501188e-05,0.6171117782592773,6.659734972318014,13.111764510472616,320.61571350097654,0.44526183903217315,0.96689629505078,634.5395222981771,3.8364844878514606
6,4.7185832004988135e-05,0.5221435964107514,6.659734972318014,13.120878744125367,260.85230814615886,0.42686764895915985,5.054831218719483,490.5218983968099,3.143886756896973
7,3.250000000000001e-05,0.4463349143664042,6.659734972318014,13.10336758295695,245.56310119628907,0.3996206700801849,5.8592023849487305,455.1717508951823,2.9151772181193034
8,2.0528000059645997e-05,0.40378895004590354,6.659734972318014,13.112131388982137,231.99588521321616,0.3786794702212016,6.4163989702860516,424.73601888020835,2.7369635581970213
9,1.2713832064634127e-05,0.3840138117472331,6.659734972318014,13.112476809819539,221.20030212402344,0.36474392265081407,6.091832939783732,405.1201212565104,2.609232767422994
10,1e-05,0.37342726389567055,6.659734972318014,13.108788251876831,211.52200419108073,0.35526856283346814,6.958311859766642,380.58360188802084,2.501861397425334
