epoch,jepa,lnn,hnn,sup,total
1,0.728277184565862,0.0,0.0,4.7045698722203575,0.7753228803475698
2,0.3923441270987193,0.0,0.0,4.228731187184652,0.43463143905003865
3,0.28761669298013054,0.0,0.0,2.6047198295593263,0.3136638909578323
4,0.26344725092252097,0.0,0.0,1.1036190857489905,0.2744834413131078
5,0.2508618166049322,0.0,0.0,0.29221102396647136,0.2537839283545812
6,0.23474214126666387,0.0,0.0,0.121442661434412,0.23595656702915827
7,0.22422914405663807,0.0,0.0,0.06902552576114734,0.22491940011580785
8,0.2211002712448438,0.0,0.0,0.04813483090450366,0.22158161997795106
9,0.2186639800667763,0.0,0.0,0.032212773865709705,0.21898610790570577
10,0.21699286997318268,0.0,0.0,0.023234708669284978,0.21722521682580312
