epoch,jepa,lnn,hnn,sup,total
1,0.7091300282627344,0.0,0.026523017979343422,6.2121404111385345,0.7712779597689708
2,0.3118944602708022,0.0,0.010752811353692474,4.833657428622246,0.36024178626636666
3,0.25550205539911985,0.0,0.008905930919960761,0.7527820930505792,0.2630387827133139
4,0.2356650217746695,0.0,0.0062449479883071035,0.18355989169018963,0.23750686614463726
5,0.22060138204445442,0.0,0.0053743646761480095,0.05168928892817348,0.22112364942828813
6,0.21788264624774456,0.0,0.004661309974229273,0.03246529479899133,0.21821196004748344
7,0.2157352383558949,0.0,0.003935597026914668,0.022566476012192044,0.21596483855197826
8,0.21324516957004866,0.0,0.004414431859913748,0.01549421894014813,0.21340452817579111
9,0.21153124825408062,0.0,0.0028933725334354676,0.011144227949747195,0.21164558486392102
10,0.21088746127982935,0.0,0.0030787211605153666,0.014388667254631097,0.21103442584474882
