epoch,jepa,lnn,hnn,sup,total
1,0.7796171943346659,0.8598444821933905,0.0,5.208154598871867,0.8325585842132568
2,0.42837224205334984,0.43909172552327314,0.0,4.475327428181966,0.473564608891805
3,0.2972675601641337,0.17032704825202624,0.0,4.303852637608846,0.3404764135678609
4,0.26457147002220155,0.08743895227089524,0.0,2.4519126296043394,0.28917803267637887
5,0.2472195714712143,0.07245268849655986,0.0,0.6799799198905627,0.2540918265779813
6,0.22465423097213108,0.08168963111626605,0.0,0.4084071452418963,0.22881999363501868
7,0.2182481383283933,0.11202954629746577,0.0,0.12905649095773697,0.219650732477506
8,0.21523456126451493,0.17327087718682985,0.0,0.07045781357834736,0.21611240804195403
9,0.21286610066890715,0.28267161156982185,0.0,0.044693360663950445,0.2135957072178523
10,0.21066304842631023,0.4554087412854036,0.0,0.028912389526764552,0.21140758097171783
