epoch,jepa,lnn,hnn,sup,total
1,0.6298300524552664,0.0,0.0,6.01934090256691,0.6900234576314688
2,0.3114907785008351,0.0,0.0,4.688019822041194,0.35837097590168315
3,0.266871045033137,0.0,0.0,0.7892665254573027,0.27476371079683304
4,0.24469959860046706,0.0,0.0,0.2040037855428333,0.2467396386588613
5,0.22820541666199765,0.0,0.0,0.055521218377786376,0.2287606286505858
6,0.22384555637836456,0.0,0.0,0.03395573719171807,0.22418511317421994
7,0.22225443429003158,0.0,0.0,0.024259238639691223,0.2224970255047083
8,0.2207828207562367,0.0,0.0,0.01811209039685006,0.2209639409556985
9,0.21956429475297531,0.0,0.0,0.01318745250076366,0.21969616878777742
10,0.2190609366322557,0.0,0.0,0.019798819936113432,0.21925892432530722
